Sample Name,GAPDH,NON1,NON2,NON5,NON7,NON9,NON10
CONTROL,14.604455,26.80475,25.512985,27.601183,17.649792,28.498688,28.539103
CONTROL,14.73575,26.599539,25.726187,27.672903,17.77843,28.43328,30.502083
T8,13.470984,28.30039,25.402592,24.832708,17.4884,24.898375,29.427187
T8,15.918468,28.30039,25.56816,23.850863,17.560604,25.187084,29.824862
TNF,13.117483,26.03888,26.551828,25.254726,17.26414,26.055897,29.607111
TNF,13.10506,26.3099,26.65508,25.427946,17.26414,25.931477,28.958244
CONTROL,33.3322,24.441927,26.249382,26.693392,16.971317,28.01692,34.09692
CONTROL,23.488369,24.546265,26.390486,26.555782,17.263329,28.47697,35.2328
T8,21.446089,23.995434,28.084736,23.847399,18.570494,25.713936,35.24241
T8,21.394293,24.819017,28.104576,24.212929,18.984356,25.661781,32.96723
TNF,25.711164,25.329422,28.36667,25.238834,17.708704,26.78903,34.701088
TNF,25.56175,25.90976,28.463432,26.060604,18.480288,27.358229,35.443024
CONTROL,16.57089,26.289219,29.769447,27.724321,21.834478,28.650537,29.481924
CONTROL,15.556693,25.652676,29.941744,27.988743,21.478458,28.147385,30.062119
T8,14.148218,25.60741,30.703247,27.17137,21.735487,28.641748,29.487642
T8,14.331053,25.822802,30.890566,27.617321,20.408194,27.46218,29.494293
TNF,13.639725,24.89555,29.634539,25.668007,22.203833,27.946846,31.927055
TNF,13.869652,27.156136,30.20962,27.201958,22.093458,27.210003,29.170677
CONTROL,16.78691,28.992905,32.47528,28.950005,21.467825,28.38947,34.071712
CONTROL,16.706703,29.067963,32.571033,28.751484,21.736057,27.941532,33.386135
T8,15.935247,28.335266,32.462517,27.969786,20.77586,27.59181,34.80658
T8,15.935247,28.335266,32.462517,27.969786,20.77586,27.59181,34.80658
TNF,15.640796,28.1087,31.981358,27.937592,20.053555,27.27699,34.70096
TNF,15.805308,28.04396,32.15033,27.650139,20.678984,27.00605,35.57105
